dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,sumOfWeights,sumOfWeightsSquared,process,generator,keywords,description,job_path
423110,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500,e4453,3.3277,3.43e-05,1.0,20000.0,20000.0,20000.0,QCD direct photon production,Pythia8(v8.186)+EvtGen(v1.2.0),"['QCD', 'egamma', 'jets', 'performance', 'photon']","Pythia8 gammajet sample. jetjet, gamma+jet events with at least one hard process or parton shower photon with 2000 < pT < 2500 (GeV)",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID423xxx/MC15.423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.py
423111,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000,e4453,0.32495,3.03e-05,1.0,30000.0,30000.0,30000.0,QCD direct photon production,Pythia8(v8.186)+EvtGen(v1.2.0),"['QCD', 'egamma', 'jets', 'performance', 'photon']","Pythia8 gammajet sample. jetjet, gamma+jet events with at least one hard process or parton shower photon with 2500 < pT < 3000 (GeV)",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID423xxx/MC15.423111.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000.py
423112,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf,e4453,0.03148,2.87e-05,1.0,20000.0,20000.0,20000.0,QCD direct photon production,Pythia8(v8.186)+EvtGen(v1.2.0),"['QCD', 'egamma', 'jets', 'performance', 'photon']","Pythia8 gammajet sample. jetjet, gamma+jet events with at least one hard process or parton shower photon with pT > 3000 (GeV)",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID423xxx/MC15.423112.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf.py
448624,MGPy8EG_A14N23LO_TT_higgsinoRPV_1075_700,e7337,0.00399,1.0,1.0,10000.0,10119.618152856827,10263.433300881117,"Higgsino, RPV decays",MadGraph(v.2.6.2)+Pythia8+EvtGen(v.1.6.0),"['higgsino', 'rpv', 'stop', 'susy']","Stop pair production and decay to chargino/neutralino, which decay via RPV lampp332 coupling, m_stop = 1075 GeV, m_N1 = 700 GeV, m_C1 = 700 GeV, m_N2 = 700 GeV",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID448xxx/MC15.448624.MGPy8EG_A14N23LO_TT_higgsinoRPV_1075_700.py
449595,MGPy8EG_A14N23LO_TT_RPVdirectBL_1400,e7562,0.000473,1.0,1.0,10000.0,10079.364091217518,10173.82627437142,"Stop pair, Stop->bl",MadGraph(v.2.6.2)+Pythia8(v.230)+EvtGen,"['simplifiedmodel', 'susy']","Stop direct pair production, st->b+L in simplified model, m_stop = 1400 GeV",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID449xxx/MC15.449595.MGPy8EG_A14N23LO_TT_RPVdirectBL_1400.py
450576,PowhegPythia8EvtGen_NNLOPS_nnlo_30_VBFH125_ZZllbb,e7416,3.7477,0.0002436,1.0,50000.0,187525.93218946457,717734.0469757266,VBF H->ZZ->llbb,Powheg+Pythia8(v.230)+EvtGen(v.1.6.0),"['Higgs', 'SM', 'SMHiggs', 'ZZ', 'mH125']",125 GeV,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID450xxx/MC15.450576.PowhegPythia8EvtGen_NNLOPS_nnlo_30_VBFH125_ZZllbb.py
500335,MGH7EG_VBFHWWlvlv,e7954,0.082243,0.5069345,1.0,149000.0,12292.896739453077,4224.014010111432,VBF H->WW->llnunu,MadGraph(v.2.6.7p3.atlas4)+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0),"['Higgs', 'SM', 'VBF', 'WW', 'mH125']",MG+Herwig7 VBF Higgs production with H7UE tune',https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/500xxx/500335/mc.MGH7EG_VBFHWWlvlv.py
500553,aMCPy8EG_ZH_FxFx_Hyy,e8259,0.23306,1.0,1.0,50000.0,27014.50129032135,29889.462971960187,ZH H->gamma gamma,aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['BSM', 'Higgs', 'ZH', 'jets', 'mH125', 'resonance']",ZH 125 GeV Higgs FxFx merged production decaying to gammagamma.,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/500xxx/500553/mc.aMCPy8EG_ZH_FxFx_Hyy.py
500554,aMCPy8EG_WH_FxFx_Hyy,e8259,0.4736,1.0,1.0,40000.0,43894.24421167374,94603.31152789258,"WH H->gamma gamma, W->lnu",aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['BSM', 'Higgs', 'ZH', 'jets', 'mH125', 'resonance']","WH, W to leptons, 125 GeV Higgs FxFx merged production decaying to gammagamma.",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/500xxx/500554/mc.aMCPy8EG_WH_FxFx_Hyy.py
500555,aMCPy8EG_ggZH_Hyy,e8259,0.015878,1.0,1.0,40000.0,635.1185292005539,10.084424548114693,"ZH H->gamma gamma, Z->ll or nunu",aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['BSM', 'Higgs', 'ZH', 'jets', 'mH125', 'resonance']",ggZH 125 GeV Higgs production decaying to gammagamma.,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/500xxx/500555/mc.aMCPy8EG_ggZH_Hyy.py
